Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
144,2021/8/12 18:7:56.345405,-0.07,0.03,0.11,0.75,-0.27,10.3,-61.0,7.9167102972640615
145,2021/8/12 18:7:56.405643,0.0,0.02,-0.0,0.09,-0.72,11.45,-61.0,7.9167102972640615
146,2021/8/12 18:7:56.467352,0.02,-0.01,0.08,0.01,0.59,11.05,-61.0,7.9167102972640615
147,2021/8/12 18:7:56.529204,-0.01,0.01,0.1,0.66,-0.48,10.82,-60.0,7.530607780005371
148,2021/8/12 18:7:56.596394,0.16,-0.02,0.01,0.2,-0.04,10.81,-60.0,7.530607780005371
149,2021/8/12 18:7:56.650031,-0.3,-0.03,0.08,0.21,-0.14,11.28,-60.0,7.530607780005371
150,2021/8/12 18:7:56.729856,-0.02,0.12,0.02,0.64,-0.15,10.16,-60.0,7.530607780005371
151,2021/8/12 18:7:56.787895,0.26,-0.02,0.04,0.49,0.45,10.8,-61.0,7.9167102972640615
152,2021/8/12 18:7:56.849770,-0.17,0.1,0.09,0.24,-0.39,11.52,-61.0,7.9167102972640615
153,2021/8/12 18:7:56.907113,0.03,0.03,-0.02,0.13,-0.75,11.26,-62.0,8.322608713896155
154,2021/8/12 18:7:56.981256,-0.01,-0.0,0.02,0.38,0.57,10.41,-62.0,8.322608713896155
155,2021/8/12 18:7:57.40087,-0.07,0.05,0.1,0.77,-0.15,10.52,-63.0,8.749317987366261
156,2021/8/12 18:7:57.106844,0.06,0.04,0.02,0.25,0.3,10.63,-63.0,8.749317987366261
157,2021/8/12 18:7:57.173047,-0.24,-0.02,0.08,0.1,0.1,10.97,-63.0,8.749317987366261
158,2021/8/12 18:7:57.230963,-0.08,0.14,0.07,0.36,-0.53,10.89,-63.0,8.749317987366261
159,2021/8/12 18:7:57.332727,-0.19,-0.02,0.09,0.19,0.11,11.19,-63.0,8.749317987366261
160,2021/8/12 18:7:57.390831,-0.08,0.1,0.07,0.35,-0.22,10.69,-63.0,8.749317987366261
161,2021/8/12 18:7:57.451466,0.21,-0.04,0.06,0.42,-0.66,10.65,-63.0,8.749317987366261
162,2021/8/12 18:7:57.510435,-0.21,-0.03,0.08,0.49,0.11,11.44,-64.0,9.197905113120996
163,2021/8/12 18:7:57.575450,-0.07,0.17,0.05,0.47,-0.21,10.74,-64.0,9.197905113120996
164,2021/8/12 18:7:57.672830,-0.14,-0.02,0.07,0.25,0.65,10.74,-64.0,9.197905113120996
165,2021/8/12 18:7:57.730820,-0.09,0.06,0.09,0.75,-0.21,10.49,-64.0,9.197905113120996
166,2021/8/12 18:7:57.789498,0.11,0.01,0.0,0.28,-0.53,10.92,-64.0,9.197905113120996
167,2021/8/12 18:7:57.844232,-0.16,-0.02,0.08,0.48,0.22,10.34,-63.0,8.749317987366261
168,2021/8/12 18:7:57.908243,-0.07,0.09,0.07,0.56,-0.16,10.8,-62.0,8.322608713896155
169,2021/8/12 18:7:57.967842,0.22,-0.04,0.03,0.15,-0.21,10.86,-62.0,8.322608713896155
170,2021/8/12 18:7:58.23710,-0.27,0.01,0.06,0.15,0.06,11.25,-62.0,8.322608713896155
171,2021/8/12 18:7:58.91575,-0.1,0.14,0.07,0.62,-0.53,10.74,-62.0,8.322608713896155
172,2021/8/12 18:7:58.149360,0.32,-0.06,0.03,0.26,0.28,11.27,-62.0,8.322608713896155
173,2021/8/12 18:7:58.207890,-0.19,-0.06,0.09,0.62,-0.18,10.69,-62.0,8.322608713896155
174,2021/8/12 18:7:58.260706,-0.09,0.15,0.04,0.22,-0.05,11.49,-63.0,8.749317987366261
175,2021/8/12 18:7:58.322027,0.14,-0.02,0.03,0.11,-2.86,10.65,-65.0,9.669491792633345
176,2021/8/12 18:7:58.389686,0.01,0.01,0.15,0.44,-4.82,10.53,-65.0,9.669491792633345
177,2021/8/12 18:7:58.441832,0.1,0.03,0.11,0.48,-5.54,10.76,-65.0,9.669491792633345
178,2021/8/12 18:7:58.505475,0.04,0.06,0.03,0.34,-4.25,11.14,-65.0,9.669491792633345
179,2021/8/12 18:7:58.566470,-0.01,0.05,-0.01,0.45,-2.03,10.64,-66.0,10.16525723824062
180,2021/8/12 18:7:58.624956,-0.04,0.04,0.01,0.35,-1.7,10.92,-66.0,10.16525723824062
181,2021/8/12 18:7:58.684450,-0.06,0.04,0.03,0.43,-1.91,11.12,-66.0,10.16525723824062
182,2021/8/12 18:7:58.743376,-0.02,0.02,0.04,0.41,0.17,10.86,-66.0,10.16525723824062
183,2021/8/12 18:7:58.804061,-0.04,0.03,0.01,0.36,-0.16,10.92,-66.0,10.16525723824062
184,2021/8/12 18:7:58.861562,-0.04,0.04,0.01,0.37,-0.33,10.91,-66.0,10.16525723824062
185,2021/8/12 18:7:58.918504,-0.04,0.03,0.02,0.36,-0.16,10.95,-66.0,10.16525723824062
186,2021/8/12 18:7:58.976018,-0.04,0.03,0.01,0.37,-0.23,10.94,-66.0,10.16525723824062
187,2021/8/12 18:7:59.34614,-0.04,0.03,0.02,0.37,-0.18,10.95,-66.0,10.16525723824062
188,2021/8/12 18:7:59.94872,-0.04,0.03,0.01,0.36,-0.2,10.95,-66.0,10.16525723824062
189,2021/8/12 18:7:59.148907,-0.04,0.03,0.01,0.36,-0.19,10.93,-66.0,10.16525723824062
190,2021/8/12 18:7:59.209621,-0.04,0.03,0.01,0.37,-0.19,10.93,-66.0,10.16525723824062
191,2021/8/12 18:7:59.269008,-0.04,0.03,0.01,0.37,-0.18,10.94,-67.0,10.686441121789539
192,2021/8/12 18:7:59.329286,-0.04,0.03,0.01,0.36,-0.19,10.94,-67.0,10.686441121789539
193,2021/8/12 18:7:59.382661,-0.04,0.03,0.01,0.36,-0.19,10.94,-69.0,11.810343945529494
194,2021/8/12 18:7:59.446008,-0.04,0.03,0.01,0.37,-0.18,10.95,-70.0,12.415873228194727
195,2021/8/12 18:7:59.505141,-0.04,0.03,0.01,0.37,-0.2,10.92,-70.0,12.415873228194727
196,2021/8/12 18:7:59.559910,-0.04,0.03,0.01,0.37,-0.19,10.94,-70.0,12.415873228194727
197,2021/8/12 18:7:59.625271,-0.04,0.03,0.01,0.37,-0.18,10.94,-70.0,12.415873228194727
198,2021/8/12 18:7:59.677816,-0.04,0.03,0.01,0.36,-0.19,10.93,-70.0,12.415873228194727
199,2021/8/12 18:7:59.737019,-0.04,0.03,0.01,0.36,-0.19,10.94,-70.0,12.415873228194727
200,2021/8/12 18:7:59.803233,-0.04,0.03,0.01,0.36,-0.19,10.93,-70.0,12.415873228194727
201,2021/8/12 18:7:59.857964,-0.04,0.03,0.01,0.36,-0.18,10.95,-70.0,12.415873228194727
202,2021/8/12 18:7:59.915668,-0.04,0.03,0.01,0.36,-0.2,10.94,-70.0,12.415873228194727
203,2021/8/12 18:8:0.16889,-0.04,0.03,0.01,0.37,-0.19,10.93,-70.0,12.415873228194727
204,2021/8/12 18:8:0.80597,-0.04,0.03,0.01,0.37,-0.19,10.94,-70.0,12.415873228194727
205,2021/8/12 18:8:0.139561,-0.04,0.03,0.01,0.37,-0.19,10.93,-70.0,12.415873228194727
206,2021/8/12 18:8:0.197885,-0.04,0.03,0.01,0.37,-0.19,10.95,-70.0,12.415873228194727
207,2021/8/12 18:8:0.257615,-0.04,0.03,0.01,0.37,-0.19,10.95,-70.0,12.415873228194727
208,2021/8/12 18:8:0.324183,-0.04,0.03,0.01,0.37,-0.19,10.93,-70.0,12.415873228194727
209,2021/8/12 18:8:0.381844,-0.04,0.03,0.01,0.37,-0.19,10.95,-70.0,12.415873228194727
210,2021/8/12 18:8:0.444662,-0.04,0.03,0.01,0.37,-0.2,10.93,-70.0,12.415873228194727
211,2021/8/12 18:8:0.502742,-0.04,0.03,0.01,0.37,-0.2,10.94,-70.0,12.415873228194727
212,2021/8/12 18:8:0.563023,-0.04,0.03,0.01,0.36,-0.19,10.94,-70.0,12.415873228194727
213,2021/8/12 18:8:0.625239,-0.04,0.03,0.01,0.37,-0.2,10.93,-70.0,12.415873228194727
214,2021/8/12 18:8:0.685714,-0.04,0.03,0.01,0.37,-0.19,10.93,-70.0,12.415873228194727
215,2021/8/12 18:8:0.751582,0.04,-0.06,0.34,-0.44,1.98,10.48,-70.0,12.415873228194727
216,2021/8/12 18:8:0.808595,0.05,-0.02,1.17,0.11,1.22,11.18,-70.0,12.415873228194727
217,2021/8/12 18:8:0.869119,0.16,-0.01,2.39,-0.65,1.09,11.32,-70.0,12.415873228194727
218,2021/8/12 18:8:0.936990,0.18,-0.08,3.18,-0.77,0.51,9.99,-69.0,11.810343945529494
219,2021/8/12 18:8:1.6547,0.02,-0.17,3.53,-0.73,0.03,11.07,-67.0,10.686441121789539
220,2021/8/12 18:8:1.50454,0.2,-0.2,3.79,-0.33,-0.4,10.06,-67.0,10.686441121789539
221,2021/8/12 18:8:1.106252,0.21,-0.14,4.07,-0.98,-0.28,10.75,-66.0,10.16525723824062
222,2021/8/12 18:8:1.168071,0.13,-0.03,3.82,0.08,-2.94,11.14,-66.0,10.16525723824062
223,2021/8/12 18:8:1.229974,0.12,-0.05,2.46,-0.43,-2.66,10.9,-67.0,10.686441121789539
224,2021/8/12 18:8:1.291007,-0.03,0.01,0.74,0.34,-2.31,10.99,-68.0,11.234346674461515
