Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
846,53:02.5,-0.05,-0.04,0.02,0.72,0.68,9.83,-60,7.53060778
847,53:02.1,-0.04,0.14,0.12,0.31,0.01,11.08,-60,7.53060778
848,53:02.2,-0.16,0.04,0,0.07,-0.14,11.09,-60,7.53060778
849,53:02.2,-0.21,-0.01,0,0.47,-4.48,11.41,-60,7.53060778
850,53:02.3,-0.17,0.09,-0.09,0.6,-5.43,10.84,-60,7.53060778
851,53:02.4,-0.03,0,-0.09,0.76,-4.59,10.93,-61,7.916710297
852,53:02.4,0.03,0.07,0,0.45,-2.17,10.93,-62,8.322608714
853,53:02.5,-0.03,0.05,0.01,0.44,-1.47,10.68,-62,8.322608714
854,53:02.6,-0.03,0.04,0.02,0.52,-1.69,10.79,-63,8.749317987
855,53:02.6,0.02,0.04,0.03,0.48,-0.13,10.94,-63,8.749317987
856,53:02.7,-0.04,0.03,0.02,0.47,0.14,10.91,-64,9.197905113
857,53:02.7,-0.04,0.04,0.01,0.46,-0.15,10.91,-65,9.669491793
858,53:02.8,-0.04,0.03,0.02,0.45,-0.1,10.92,-65,9.669491793
859,53:02.9,-0.04,0.03,0.01,0.44,-0.09,10.91,-66,10.16525724
860,53:02.9,-0.04,0.03,0.02,0.44,-0.06,10.9,-66,10.16525724
861,53:03.0,-0.04,0.03,0.01,0.44,-0.09,10.9,-66,10.16525724
862,53:03.3,-0.04,0.03,0.02,0.45,-0.08,10.91,-66,10.16525724
863,53:04.0,-0.04,0.03,0.01,0.44,-0.1,10.92,-66,10.16525724
864,53:03.2,-0.04,0.03,0.01,0.45,-0.09,10.91,-67,10.68644112
865,53:03.2,-0.04,0.03,0.01,0.44,-0.07,10.91,-67,10.68644112
866,53:03.3,-0.04,0.03,0.01,0.44,-0.08,10.91,-67,10.68644112
867,53:03.3,-0.04,0.03,0.01,0.43,-0.08,10.91,-67,10.68644112
868,53:03.4,-0.04,0.03,0.01,0.45,-0.09,10.9,-67,10.68644112
869,53:03.4,-0.04,0.03,0.01,0.44,-0.09,10.91,-67,10.68644112
870,53:03.5,-0.04,0.03,0.01,0.45,-0.08,10.93,-67,10.68644112
871,53:03.6,-0.04,0.03,0.01,0.45,-0.09,10.93,-67,10.68644112
872,53:03.6,-0.04,0.03,0.01,0.44,-0.08,10.91,-67,10.68644112
873,53:03.7,-0.04,0.03,0.01,0.45,-0.08,10.91,-68,11.23434667
874,53:03.7,-0.04,0.03,0.01,0.45,-0.09,10.91,-68,11.23434667
875,53:03.8,-0.04,0.03,0.01,0.44,-0.09,10.92,-68,11.23434667
876,53:03.9,-0.04,0.03,0.01,0.45,-0.09,10.9,-68,11.23434667
877,53:03.9,-0.04,0.03,0.01,0.45,-0.08,10.91,-68,11.23434667
878,53:04.0,-0.04,0.03,0.02,0.44,-0.09,10.92,-68,11.23434667
879,53:04.3,-0.04,0.03,0.01,0.45,-0.08,10.92,-68,11.23434667
880,53:04.9,-0.04,0.03,0.01,0.45,-0.08,10.92,-68,11.23434667
881,53:04.2,-0.04,0.03,0.01,0.44,-0.1,10.92,-68,11.23434667
882,53:04.2,-0.04,0.03,0.01,0.45,-0.09,10.89,-69,11.81034395
883,53:04.3,-0.04,0.03,0.02,0.44,-0.09,10.91,-70,12.41587323
884,53:04.3,-0.04,0.03,0.01,0.45,-0.09,10.9,-70,12.41587323
885,53:04.4,-0.04,0.03,0.02,0.45,-0.1,10.9,-70,12.41587323
886,53:04.5,-0.04,0.03,0.01,0.44,-0.08,10.9,-70,12.41587323
887,53:04.5,-0.04,0.03,0.01,0.44,-0.09,10.91,-70,12.41587323
888,53:04.6,-0.04,0.03,0.01,0.44,-0.09,10.91,-70,12.41587323
889,53:04.7,-0.04,0.03,0.01,0.43,-0.08,10.91,-70,12.41587323
890,53:04.7,-0.04,0.03,0.01,0.45,-0.09,10.9,-70,12.41587323
891,53:04.8,-0.04,0.03,0.01,0.45,-0.09,10.9,-70,12.41587323
892,53:04.8,-0.04,0.03,0.01,0.44,-0.09,10.91,-70,12.41587323
893,53:04.9,-0.04,0.03,0.01,0.44,-0.08,10.9,-70,12.41587323
894,53:04.9,-0.04,0.03,0.01,0.44,-0.08,10.91,-70,12.41587323
895,53:05.4,-0.04,0.03,0.01,0.43,-0.09,10.91,-69,11.81034395
896,53:05.7,-0.04,0.03,0.01,0.44,-0.09,10.91,-69,11.81034395
897,53:05.1,-0.04,0.03,0.01,0.44,-0.09,10.91,-69,11.81034395
898,53:05.2,-0.04,0.03,0.01,0.43,-0.08,10.92,-69,11.81034395
899,53:05.2,-0.04,0.03,0.01,0.44,-0.08,10.92,-69,11.81034395
900,53:05.3,-0.04,0.03,0.01,0.44,-0.09,10.91,-69,11.81034395
901,53:05.4,-0.04,0.03,0.01,0.45,-0.1,10.93,-69,11.81034395
902,53:05.4,-0.04,0.03,0.01,0.45,-0.08,10.93,-69,11.81034395
903,53:05.5,-0.04,0.03,0.01,0.45,-0.08,10.92,-69,11.81034395
904,53:05.5,-0.04,0.03,0.01,0.45,-0.09,10.91,-69,11.81034395
905,53:05.6,-0.04,0.03,0.01,0.45,-0.09,10.92,-69,11.81034395
906,53:05.7,-0.04,0.03,0.01,0.44,-0.08,10.92,-69,11.81034395
907,53:05.7,-0.04,0.03,0.01,0.44,-0.09,10.92,-69,11.81034395
908,53:05.8,0.05,0.05,0.02,0.03,4.49,9.71,-69,11.81034395
909,53:05.9,0.18,-0.03,0.09,0.28,5.95,10.61,-69,11.81034395
910,53:05.9,0.08,-0.05,-0.06,0.41,5.09,11.18,-68,11.23434667
911,53:06.0,-0.08,0.01,-0.2,1.37,3.13,11.27,-68,11.23434667
912,53:06.4,-0.05,0.27,-0.03,0.58,1.72,10.93,-66,10.16525724
913,53:06.1,-0.06,-0.1,0.02,0,1.14,9.15,-63,8.749317987
914,53:06.2,-0.09,-0.07,0.06,0.6,0.39,10.36,-63,8.749317987
915,53:06.2,0.05,0.22,0.05,0.3,-0.08,11.08,-62,8.322608714
916,53:06.3,-0.35,0.01,0,0.29,-4.39,9.36,-62,8.322608714
917,53:06.3,-0.23,-0.04,0.1,0.67,-3.93,9.2,-61,7.916710297
