Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
248,1627718371,-0.04,0.03,0.01,0.39,0.28,10.91,-39
249,1627718372,-0.04,0.02,0.01,0.39,0.28,10.94,-36
250,1627718373,-0.05,0.05,0.01,0.42,0.3,10.94,-37
251,1627718374,-0.04,0.04,0.01,0.42,0.29,10.93,-37
252,1627718375,-0.03,0,0.01,0.41,0.28,10.93,-37
253,1627718376,-0.04,0.04,0.01,0.39,0.28,10.91,-37
254,1627718376,-0.04,0.03,0.01,0.4,0.28,10.92,-37
255,1627718377,-0.04,0.04,0.01,0.42,0.3,10.93,-37
256,1627718378,-0.04,0.02,0.01,0.4,0.29,10.91,-36
257,1627718379,-0.04,0.05,0.01,0.43,0.31,10.92,-36
258,1627718380,-0.04,0.03,0.01,0.42,0.3,10.92,-36
259,1627718381,-0.04,0.04,0.01,0.43,0.29,10.92,-36
260,1627718381,-0.04,0.03,0.01,0.41,0.29,10.92,-36
261,1627718382,-0.04,0.03,0.01,0.42,0.29,10.92,-36
262,1627718383,-0.04,0.02,0.01,0.42,0.28,10.92,-37
263,1627718384,-0.04,0.03,0.01,0.41,0.28,10.93,-37
264,1627718385,-0.04,0.05,0.01,0.43,0.28,10.92,-38
265,1627718385,-0.14,0.89,0.78,-3.77,-1.19,9.15,-41
266,1627718386,-0.04,1.2,0.53,-9.82,-0.65,4.53,-45
267,1627718387,-0.11,-0.04,0.08,-9.64,-0.73,2.63,-51
268,1627718388,-0.06,0.4,-0.03,-9.64,-0.58,1.88,-54
269,1627718389,-0.67,-2.33,-0.17,-5.54,-2.49,9.31,-51
270,1627718390,-0.13,-0.53,0.02,0.71,-3.51,10.13,-49
271,1627718391,-0.03,-0.1,-0.04,1.89,-3.46,10.09,-49
272,1627718391,-0.06,-0.01,0.02,2.83,-3.58,9.67,-48
273,1627718392,-0.01,0.83,0.51,-2.7,-3.26,10.17,-47
274,1627718393,0.13,0.2,0.26,-5.86,-1.37,8.75,-47
